"","Student ID","Gender","First Generation Indicator","Term Code","Cum UG Crs GPA"
"153",8134369,"Male","Not First Generation College Stdnt","202310",3.66
"154",8134369,"Male","Not First Generation College Stdnt","202320",3.77
"155",8134369,"Male","Not First Generation College Stdnt","202410",3.77
"156",8135649,"Male","Not First Generation College Stdnt","202310",3.19
"157",8135649,"Male","Not First Generation College Stdnt","202320",3.25
"158",8135649,"Male","Not First Generation College Stdnt","202410",3.25
"159",8136937,"Male","Not First Generation College Stdnt","202310",3.74
"160",8136937,"Male","Not First Generation College Stdnt","202320",3.74
"161",8136937,"Male","Not First Generation College Stdnt","202410",3.74
"162",8137090,"Male","Not First Generation College Stdnt","202310",2.58
"163",8137090,"Male","Not First Generation College Stdnt","202320",2.36
"164",8137163,"Male","Not First Generation College Stdnt","202310",3.76
"165",8137163,"Male","Not First Generation College Stdnt","202320",3.1
"166",8137163,"Male","Not First Generation College Stdnt","202410",3.1
"167",8137272,"Male","First Generation College Stdnt","202310",2.88
"168",8137272,"Male","First Generation College Stdnt","202320",3.32
"169",8137272,"Male","First Generation College Stdnt","202410",3.32
"170",8137508,"Male","Not First Generation College Stdnt","202310",3.41
"171",8137508,"Male","Not First Generation College Stdnt","202320",3.46
"172",8137508,"Male","Not First Generation College Stdnt","202410",3.46
"173",8137586,"Male","Not First Generation College Stdnt","202310",3.86
"174",8137586,"Male","Not First Generation College Stdnt","202320",3.9
"175",8137586,"Male","Not First Generation College Stdnt","202410",3.9
"176",8137656,"Male","Not First Generation College Stdnt","202310",2.73
"177",8137656,"Male","Not First Generation College Stdnt","202320",3.19
"178",8137656,"Male","Not First Generation College Stdnt","202410",3.19
"179",8139377,"Female","Not First Generation College Stdnt","202310",2.51
"180",8139377,"Female","Not First Generation College Stdnt","202320",2.88
"181",8139377,"Female","Not First Generation College Stdnt","202410",2.88
"182",8139622,"Male","Not First Generation College Stdnt","202310",1.6
"183",8140899,"Female","Not First Generation College Stdnt","202310",4
"184",8140899,"Female","Not First Generation College Stdnt","202320",3.87
"185",8140899,"Female","Not First Generation College Stdnt","202410",3.87
"186",8141118,"Male","Not First Generation College Stdnt","202310",3.82
"187",8141118,"Male","Not First Generation College Stdnt","202320",3.57
"188",8141118,"Male","Not First Generation College Stdnt","202410",3.57
"189",8141125,"Male","Not First Generation College Stdnt","202310",3.82
"190",8141125,"Male","Not First Generation College Stdnt","202320",3.68
"191",8141125,"Male","Not First Generation College Stdnt","202410",3.68
"192",8141468,"Female","Not First Generation College Stdnt","202310",2.92
"193",8141468,"Female","Not First Generation College Stdnt","202320",3.25
"194",8141468,"Female","Not First Generation College Stdnt","202410",3.25
"195",8141755,"Male","Not First Generation College Stdnt","202310",2.8
"196",8141755,"Male","Not First Generation College Stdnt","202320",2.78
"197",8141755,"Male","Not First Generation College Stdnt","202410",2.78
"198",8141853,"Male","Not First Generation College Stdnt","202310",3.32
"199",8141853,"Male","Not First Generation College Stdnt","202320",3.44
"200",8141853,"Male","Not First Generation College Stdnt","202410",3.43
