"","Student ID","Cohort Term","Term Code","Enrolled Student Count","Major 1","Major 2","Major 3"
"99",8114059,"202410","202410",1,"BA Major",NA,NA
"100",8114249,"202410","202410",1,"BA Major",NA,NA
"101",8114711,"202410","202410",1,"BA Major",NA,NA
"102",8114711,"202410","202420",1,"BA Major",NA,NA
"103",8114906,"202410","202410",1,"BA Major",NA,NA
"104",8114983,"202410","202410",1,"BA Major",NA,NA
"105",8115221,"202410","202410",1,"BA Major",NA,NA
"106",8115233,"202410","202410",1,"BA Major",NA,NA
"107",8115233,"202410","202420",1,"BA Major",NA,NA
"108",8115239,"202410","202410",1,"BA Major",NA,NA
"109",8115369,"202410","202410",1,"BA Major",NA,NA
"110",8115502,"202410","202410",1,"Accountancy",NA,NA
"111",8115502,"202410","202420",1,"Accountancy",NA,NA
"112",8115647,"202410","202410",1,"BA Major",NA,NA
"113",8116045,"202410","202410",1,"BA Major",NA,NA
"114",8116045,"202410","202420",1,"BA Major",NA,NA
"115",8116163,"202410","202410",1,"BA Major",NA,NA
"116",8116176,"202410","202410",1,"BA Major",NA,NA
"117",8116176,"202410","202420",1,"BA Major",NA,NA
"118",8116654,"202410","202410",1,"BA Major",NA,NA
"119",8116670,"202410","202410",1,"BA Major",NA,NA
"120",8116997,"202410","202410",1,"BA Major",NA,NA
"121",8117385,"202410","202410",1,"BA Major",NA,NA
"122",8119698,"202410","202410",1,"BA Major",NA,NA
"123",8119865,"202410","202410",1,"BA Major",NA,NA
"124",8120083,"202410","202410",1,"BA Major",NA,NA
"125",8121360,"202410","202410",1,"BA Major",NA,NA
"126",8121637,"202410","202410",1,"BA Major",NA,NA
"127",8121637,"202410","202420",1,"BA Major",NA,NA
"128",8121849,"202410","202410",1,"BA Major",NA,NA
"129",8121849,"202410","202420",1,"BA Major",NA,NA
"130",8124223,"202410","202410",1,"BA Major",NA,NA
"131",8124223,"202410","202420",1,"BA Major",NA,NA
"132",8124641,"202310","202310",1,"BA Major",NA,NA
"133",8124641,"202310","202320",1,"BA Major",NA,NA
"134",8124641,"202310","202410",1,"BA Major",NA,NA
"135",8125971,"202310","202310",1,"Undeclared - Business",NA,NA
"136",8125971,"202310","202320",1,"Undeclared - Business",NA,NA
"137",8125971,"202310","202410",1,"BA Major",NA,NA
"138",8126128,"202310","202310",1,"BA Major",NA,NA
"139",8126128,"202310","202320",1,"BA Major",NA,NA
"140",8129435,"202310","202310",1,"BA Major",NA,NA
"141",8129435,"202310","202320",1,"BA Major",NA,NA
